Age,Gender,Region,HouseholdIncomeUSD,Occupation,BuyFrequency,AvgSpendPerTripUSD,StyleKeywords,InspirationPlatforms,BuysPreloved,PrelovedMotives,PrelovedBarriers,SustainabilityImportance,QuizWillingness,LinkSocials,PayPremiumForStory,ShareOwnStory,SubscriptionInterest,MaxMonthlyFeeUSD,SwapPerks
29,Male,Australia/NZ,4751,Retail/Service,Weekly,45,"Vintage, Minimalist, Streetwear",Pinterest,Occasionally,"Brand access, Sustainability","Sizing fit, Shipping hassle, Authenticity",2,Definitely,Maybe if anonymised,2,3,Somewhat,50,"Hygiene guarantee, Easy returns, Loyalty points"
38,Male,North America,12936,Professional,Monthly,142,"Streetwear, Sporty, Formal","IRL friends, Pinterest, Instagram",Yes,"Brand access, Story value, Unique pieces",Authenticity,2,Definitely,Yes,2,4,Very interested,39,Easy returns
18,Non-binary,North America,7050,Homemaker,Rarely,215,"Vintage, Sporty, Minimalist","YouTube, Pinterest",Yes,"Brand access, Story value",Shipping hassle,3,No,Yes,5,3,Somewhat,45,Hygiene guarantee
30,Male,Europe,9851,Professional,Monthly,142,"Formal, Boho","YouTube, Instagram, TikTok",Occasionally,"Brand access, Unique pieces, Story value",Shipping hassle,5,Definitely,Maybe if anonymised,5,4,Very interested,65,"Stylist chat, Easy returns, Loyalty points, Quality vetting"
27,Female,North America,4113,Student,Quarterly,172,Minimalist,"TikTok, YouTube",Yes,Story value,"Authenticity, None, Hygiene",5,Definitely,Yes,4,3,Not interested,86,"Easy returns, Quality vetting, Hygiene guarantee"
25,Female,North America,4521,Student,Weekly,42,"Boho, Sporty, Casual",Instagram,No,"Unique pieces, Brand access, Sustainability",Shipping hassle,4,Definitely,Yes,2,2,Neutral,23,"Hygiene guarantee, Quality vetting"
33,Male,Europe,3398,Professional,Monthly,141,"Formal, Minimalist",IRL friends,Yes,"Unique pieces, Brand access","Hygiene, None, Sizing fit",3,Maybe,Maybe if anonymised,4,5,Neutral,36,"Hygiene guarantee, Easy returns, Stylist chat"
34,Male,Asia,2341,Retail/Service,Monthly,87,"Sporty, Formal, Casual","IRL friends, TikTok, Blogs",Occasionally,"Sustainability, Affordability","None, Hygiene, Shipping hassle",2,Definitely,No,5,4,Very interested,55,"Easy returns, Stylist chat"
34,Male,North America,3573,Student,Weekly,147,"Formal, Boho","Pinterest, YouTube",Yes,"Story value, Brand access","Shipping hassle, None",4,Maybe,Yes,5,4,Very interested,12,"Hygiene guarantee, Easy returns, Loyalty points"
32,Prefer not to say,Middle East,7013,Retail/Service,Rarely,117,Boho,"TikTok, Instagram, IRL friends",No,"Affordability, Unique pieces, Sustainability","Hygiene, Shipping hassle, Sizing fit",5,No,Maybe if anonymised,4,3,Not interested,41,"Loyalty points, Hygiene guarantee, Stylist chat"
18,Male,Africa,4109,Professional,Monthly,111,"Minimalist, Formal","Blogs, TikTok, Pinterest",Yes,"Brand access, Story value, Affordability","None, Hygiene, Authenticity",3,Definitely,Yes,4,5,Somewhat,37,"Loyalty points, Quality vetting, Stylist chat, Hygiene guarantee"
30,Male,Australia/NZ,3594,Professional,Quarterly,176,Boho,"YouTube, Instagram, Pinterest",Yes,"Sustainability, Story value","None, Sizing fit, Shipping hassle",4,Maybe,No,4,1,Very interested,71,"Hygiene guarantee, Loyalty points"
44,Male,Australia/NZ,5944,Retail/Service,Monthly,59,"Sporty, Streetwear","TikTok, Instagram",No,Affordability,"None, Authenticity",3,Maybe,Maybe if anonymised,3,5,Very interested,18,"Stylist chat, Hygiene guarantee, Easy returns"
37,Female,North America,4625,Professional,Weekly,61,"Boho, Streetwear",Blogs,Yes,"Story value, Brand access",Authenticity,4,Maybe,Maybe if anonymised,3,3,Very interested,43,Easy returns
46,Female,Middle East,10886,Professional,Weekly,122,"Minimalist, Formal, Boho","TikTok, YouTube, Instagram",No,"Story value, Sustainability","Hygiene, None",5,Definitely,No,2,5,Not interested,70,Easy returns
50,Female,Middle East,7831,Other,Weekly,121,Streetwear,"Instagram, YouTube, TikTok",Yes,"Story value, Sustainability","Authenticity, None",3,Definitely,No,5,4,Somewhat,56,Hygiene guarantee
18,Female,North America,2821,Professional,Weekly,103,"Vintage, Sporty","IRL friends, Instagram, YouTube",Yes,Sustainability,Hygiene,3,Definitely,Maybe if anonymised,1,1,Somewhat,48,"Loyalty points, Quality vetting, Hygiene guarantee, Easy returns"
24,Female,Asia,5109,Professional,Monthly,10,"Formal, Minimalist","TikTok, Blogs",No,Brand access,None,1,Maybe,Maybe if anonymised,3,3,Somewhat,78,"Easy returns, Stylist chat, Quality vetting, Hygiene guarantee"
41,Female,North America,8370,Student,Quarterly,54,"Casual, Sporty","IRL friends, YouTube, Instagram",Occasionally,"Sustainability, Unique pieces, Brand access","Sizing fit, Authenticity",3,No,Yes,5,3,Neutral,5,"Quality vetting, Stylist chat, Hygiene guarantee, Easy returns"
22,Female,Asia,6119,Creative,Monthly,128,"Formal, Sporty","YouTube, Pinterest, Instagram",Yes,"Affordability, Sustainability","Shipping hassle, Hygiene, Sizing fit",3,Maybe,Yes,3,2,Very interested,64,"Hygiene guarantee, Loyalty points, Stylist chat"
29,Female,North America,5689,Professional,Weekly,181,Minimalist,Pinterest,Yes,"Story value, Affordability","Hygiene, Shipping hassle",5,Definitely,Maybe if anonymised,2,4,Somewhat,24,Loyalty points
30,Male,Europe,10271,Retail/Service,Rarely,123,Formal,"Pinterest, YouTube",Yes,Sustainability,"None, Authenticity",1,Definitely,Maybe if anonymised,3,5,Somewhat,67,"Quality vetting, Stylist chat"
43,Male,Middle East,7674,Student,Quarterly,173,Sporty,TikTok,Yes,Unique pieces,Authenticity,4,Maybe,No,4,4,Very interested,59,Stylist chat
27,Female,Other,5508,Professional,Monthly,85,"Vintage, Casual, Formal","IRL friends, Instagram",Yes,"Affordability, Story value","Shipping hassle, Hygiene, Sizing fit",4,Maybe,Yes,4,5,Very interested,41,"Hygiene guarantee, Stylist chat, Easy returns"
35,Female,Africa,6260,Student,Quarterly,128,"Vintage, Sporty","Instagram, IRL friends",Yes,"Unique pieces, Story value, Sustainability","Hygiene, Sizing fit, None",3,Maybe,No,5,4,Very interested,55,"Quality vetting, Hygiene guarantee"
27,Female,Australia/NZ,14812,Professional,Monthly,88,Vintage,"Blogs, Instagram, TikTok",No,Story value,"Hygiene, None",3,Maybe,Yes,4,4,Not interested,71,"Hygiene guarantee, Easy returns"
32,Female,Asia,6122,Professional,Quarterly,23,"Boho, Sporty, Vintage",Pinterest,No,Brand access,"None, Authenticity",3,Definitely,Maybe if anonymised,4,3,Somewhat,12,"Easy returns, Quality vetting, Loyalty points"
22,Female,Australia/NZ,22563,Retail/Service,Quarterly,151,Minimalist,"Blogs, TikTok, Instagram",Yes,"Sustainability, Unique pieces, Affordability","Shipping hassle, Authenticity",2,Definitely,Maybe if anonymised,4,4,Not interested,117,"Hygiene guarantee, Stylist chat"
31,Male,North America,5936,Professional,Rarely,129,"Boho, Casual","Instagram, Blogs, IRL friends",Yes,"Brand access, Unique pieces, Story value","Shipping hassle, Hygiene, None",3,Definitely,Yes,5,5,Somewhat,44,Loyalty points
39,Male,Middle East,3685,Professional,Monthly,164,"Sporty, Boho","TikTok, YouTube",No,"Sustainability, Unique pieces, Brand access",None,5,No,Yes,3,3,Somewhat,56,"Hygiene guarantee, Stylist chat, Loyalty points, Quality vetting"
29,Male,North America,2243,Professional,Weekly,149,"Boho, Streetwear",IRL friends,No,"Affordability, Story value, Brand access","Shipping hassle, None",3,Maybe,Yes,4,2,Very interested,65,Quality vetting
33,Male,Asia,9388,Retail/Service,Quarterly,223,Minimalist,"Blogs, IRL friends, Instagram",Yes,"Unique pieces, Story value, Affordability","Hygiene, Shipping hassle",4,Definitely,Yes,3,1,Somewhat,62,"Easy returns, Stylist chat, Loyalty points"
24,Male,North America,3005,Professional,Weekly,77,Boho,"Blogs, IRL friends",Occasionally,"Brand access, Unique pieces",Shipping hassle,5,Definitely,Yes,4,4,Somewhat,38,"Quality vetting, Loyalty points, Easy returns, Stylist chat"
18,Female,Europe,5441,Other,Monthly,128,Vintage,TikTok,Yes,"Brand access, Story value, Sustainability","Authenticity, Sizing fit, Hygiene",3,Definitely,Yes,4,3,Neutral,49,"Quality vetting, Hygiene guarantee, Easy returns, Stylist chat"
26,Female,Europe,5304,Student,Monthly,85,"Boho, Formal","IRL friends, Pinterest",No,"Sustainability, Unique pieces",Shipping hassle,2,Maybe,No,5,3,Neutral,108,"Hygiene guarantee, Stylist chat, Easy returns, Quality vetting"
29,Female,Australia/NZ,8662,Creative,Monthly,30,"Streetwear, Formal, Casual",Instagram,Occasionally,Affordability,"Authenticity, Shipping hassle, Hygiene",1,Definitely,Maybe if anonymised,5,4,Somewhat,44,"Hygiene guarantee, Easy returns"
29,Female,North America,3835,Student,Quarterly,144,Formal,"Blogs, Pinterest",Yes,"Affordability, Brand access, Sustainability",Authenticity,2,Maybe,No,3,4,Somewhat,58,Easy returns
27,Male,Australia/NZ,9235,Professional,Quarterly,170,"Formal, Vintage","Pinterest, Instagram, IRL friends",Yes,"Story value, Brand access, Affordability",Authenticity,3,Maybe,Yes,5,3,Neutral,21,Easy returns
38,Female,Europe,5397,Professional,Monthly,78,"Minimalist, Boho",Instagram,No,Unique pieces,"Hygiene, Shipping hassle",4,Definitely,Yes,5,1,Somewhat,5,Hygiene guarantee
22,Female,North America,3245,Student,Rarely,121,Boho,"Instagram, Blogs, Pinterest",No,Affordability,"Sizing fit, Authenticity",3,Maybe,Maybe if anonymised,4,3,Somewhat,73,"Easy returns, Stylist chat, Quality vetting"
34,Female,Australia/NZ,3662,Student,Rarely,12,"Minimalist, Sporty","Pinterest, TikTok",Yes,"Affordability, Sustainability","Shipping hassle, None",4,Maybe,Yes,3,4,Very interested,36,Hygiene guarantee
22,Non-binary,Africa,2666,Student,Monthly,65,"Sporty, Formal, Minimalist",Instagram,Yes,"Brand access, Unique pieces, Story value",Shipping hassle,4,Definitely,Yes,3,3,Very interested,28,"Quality vetting, Stylist chat"
30,Female,Europe,10179,Professional,Monthly,176,Vintage,Blogs,No,"Sustainability, Unique pieces, Affordability","None, Hygiene",2,Maybe,Maybe if anonymised,2,3,Somewhat,29,"Stylist chat, Hygiene guarantee, Quality vetting"
24,Male,Asia,9563,Creative,Weekly,114,"Minimalist, Streetwear, Boho","YouTube, Blogs, Pinterest",Yes,Brand access,"Hygiene, Shipping hassle",4,Definitely,Yes,5,4,Neutral,5,Easy returns
28,Female,Middle East,3449,Student,Quarterly,31,Vintage,"YouTube, TikTok",No,"Sustainability, Unique pieces, Affordability",Authenticity,3,No,No,4,4,Neutral,93,"Quality vetting, Stylist chat, Easy returns"
32,Female,Europe,1440,Other,Rarely,58,"Streetwear, Vintage, Sporty",Instagram,Yes,"Affordability, Story value","Hygiene, Shipping hassle, None",4,Definitely,No,5,2,Not interested,16,"Easy returns, Hygiene guarantee, Quality vetting, Loyalty points"
28,Male,Asia,10821,Professional,Rarely,27,"Streetwear, Boho",TikTok,No,"Affordability, Unique pieces, Sustainability",Authenticity,2,Definitely,Yes,4,5,Very interested,57,"Stylist chat, Hygiene guarantee, Loyalty points, Easy returns"
37,Female,North America,6630,Professional,Monthly,207,"Vintage, Boho, Streetwear","Blogs, TikTok",Yes,"Unique pieces, Story value, Affordability","Sizing fit, Shipping hassle, Authenticity",1,No,Maybe if anonymised,1,4,Somewhat,60,"Hygiene guarantee, Loyalty points"
38,Male,North America,9764,Professional,Quarterly,63,"Sporty, Minimalist","Blogs, Instagram, YouTube",Yes,Sustainability,"Authenticity, None",3,Maybe,Yes,3,3,Not interested,50,"Quality vetting, Loyalty points, Hygiene guarantee"
27,Male,Australia/NZ,4758,Retail/Service,Monthly,112,Formal,IRL friends,No,"Affordability, Sustainability, Brand access","Authenticity, Sizing fit",5,Definitely,Yes,4,3,Somewhat,5,Hygiene guarantee
35,Male,Europe,2435,Student,Monthly,120,"Vintage, Sporty, Boho","TikTok, IRL friends",Yes,"Sustainability, Affordability","Hygiene, Authenticity",2,Maybe,No,4,4,Somewhat,68,"Hygiene guarantee, Loyalty points, Quality vetting"
18,Prefer not to say,North America,5980,Student,Monthly,81,"Sporty, Boho","IRL friends, TikTok, Instagram",No,"Brand access, Story value, Unique pieces","None, Shipping hassle, Hygiene",3,No,Maybe if anonymised,5,4,Very interested,5,Easy returns
21,Male,Other,3706,Other,Weekly,174,"Sporty, Vintage, Formal","IRL friends, TikTok, Pinterest",No,"Sustainability, Story value, Brand access",Authenticity,3,Maybe,No,3,3,Not interested,68,"Loyalty points, Stylist chat, Quality vetting"
39,Female,Europe,3487,Student,Quarterly,185,Streetwear,"IRL friends, Instagram, YouTube",Occasionally,"Story value, Sustainability","Shipping hassle, Sizing fit, Authenticity",3,Definitely,Maybe if anonymised,1,4,Somewhat,68,"Easy returns, Stylist chat"
42,Male,North America,8871,Professional,Rarely,159,Minimalist,"TikTok, Pinterest",No,Story value,"Sizing fit, Hygiene, Authenticity",4,Definitely,Yes,2,2,Neutral,68,Loyalty points
18,Female,Middle East,6553,Student,Quarterly,168,"Casual, Streetwear",TikTok,Yes,"Story value, Affordability","Hygiene, None, Sizing fit",4,No,Yes,2,4,Somewhat,5,"Loyalty points, Quality vetting, Stylist chat, Hygiene guarantee"
30,Female,Africa,9502,Homemaker,Weekly,171,"Minimalist, Formal, Vintage","TikTok, Instagram, Blogs",Occasionally,Story value,"Sizing fit, Authenticity",3,Definitely,No,3,4,Somewhat,33,"Loyalty points, Quality vetting, Easy returns"
42,Female,North America,5054,Student,Weekly,119,"Boho, Casual","Pinterest, IRL friends, YouTube",No,"Brand access, Story value, Affordability",Hygiene,5,No,Maybe if anonymised,3,4,Very interested,75,"Loyalty points, Stylist chat, Quality vetting"
24,Female,Africa,1382,Other,Monthly,56,Minimalist,Pinterest,Yes,"Brand access, Affordability","Authenticity, None",5,No,No,5,2,Very interested,49,"Hygiene guarantee, Loyalty points"
23,Male,Europe,3937,Retail/Service,Weekly,123,"Minimalist, Boho, Sporty","Blogs, Pinterest, Instagram",Yes,Story value,"Sizing fit, None, Authenticity",5,Definitely,Yes,1,2,Somewhat,46,"Hygiene guarantee, Stylist chat, Quality vetting"
38,Male,North America,5968,Professional,Monthly,216,"Vintage, Streetwear, Formal",Instagram,No,"Unique pieces, Story value","Authenticity, Hygiene, Shipping hassle",4,Definitely,Maybe if anonymised,3,3,Somewhat,33,Easy returns
36,Male,Europe,11175,Professional,Monthly,129,Streetwear,"Pinterest, Blogs, IRL friends",No,Unique pieces,"Sizing fit, Authenticity, Hygiene",3,Definitely,Yes,4,3,Not interested,48,"Loyalty points, Easy returns"
42,Female,Europe,4937,Professional,Rarely,95,"Casual, Formal","Blogs, IRL friends",Yes,Brand access,"Authenticity, Shipping hassle",5,Definitely,Yes,1,5,Somewhat,110,"Stylist chat, Quality vetting, Loyalty points, Easy returns"
18,Male,Asia,8654,Homemaker,Weekly,165,"Vintage, Casual","YouTube, Instagram",Yes,"Brand access, Story value","Hygiene, None, Authenticity",4,Maybe,Yes,2,4,Somewhat,63,Hygiene guarantee
31,Female,North America,8998,Student,Quarterly,105,"Casual, Boho, Formal","TikTok, Pinterest",Yes,"Brand access, Story value, Unique pieces","Sizing fit, Hygiene, Shipping hassle",2,Definitely,Maybe if anonymised,5,4,Neutral,46,Quality vetting
35,Male,North America,8002,Professional,Quarterly,61,Streetwear,"IRL friends, Blogs, Instagram",No,Brand access,None,4,Maybe,Maybe if anonymised,4,4,Very interested,54,Loyalty points
33,Female,Asia,4988,Professional,Quarterly,133,Minimalist,"IRL friends, Blogs",Yes,"Story value, Brand access","Sizing fit, Authenticity",5,Definitely,No,4,3,Neutral,28,"Hygiene guarantee, Loyalty points, Easy returns"
31,Female,Asia,6945,Professional,Quarterly,10,Formal,Blogs,No,"Story value, Affordability, Unique pieces","Hygiene, Authenticity, None",3,Maybe,Yes,3,2,Somewhat,20,"Easy returns, Stylist chat, Quality vetting"
40,Female,Middle East,4867,Student,Quarterly,155,"Formal, Casual",Blogs,Yes,"Brand access, Affordability, Story value","Authenticity, Shipping hassle",4,No,Yes,4,1,Very interested,5,"Quality vetting, Hygiene guarantee, Loyalty points"
31,Male,Asia,9951,Student,Quarterly,75,"Casual, Formal, Minimalist","YouTube, Instagram",No,"Affordability, Story value",Hygiene,1,Definitely,No,3,4,Very interested,53,"Quality vetting, Hygiene guarantee, Stylist chat"
35,Female,Europe,9647,Professional,Monthly,117,"Streetwear, Vintage","IRL friends, Blogs",Yes,"Sustainability, Unique pieces, Brand access","Authenticity, Sizing fit, Hygiene",3,Maybe,Yes,2,5,Very interested,41,Stylist chat
32,Male,Asia,4026,Student,Monthly,182,Streetwear,"YouTube, Blogs",Yes,"Sustainability, Unique pieces",Hygiene,4,Maybe,Yes,3,3,Very interested,60,"Stylist chat, Hygiene guarantee"
31,Male,Africa,3976,Professional,Weekly,78,"Casual, Boho","Instagram, YouTube, Pinterest",No,"Unique pieces, Story value, Brand access",None,5,Definitely,Yes,2,3,Very interested,78,"Hygiene guarantee, Quality vetting, Loyalty points, Easy returns"
26,Non-binary,Australia/NZ,5230,Professional,Rarely,98,"Casual, Sporty, Streetwear",YouTube,Occasionally,Story value,"Sizing fit, Hygiene, Shipping hassle",4,Definitely,Maybe if anonymised,5,3,Not interested,49,"Quality vetting, Stylist chat"
37,Female,Middle East,3276,Student,Monthly,54,"Casual, Vintage","IRL friends, TikTok, Pinterest",No,Affordability,Shipping hassle,1,Maybe,Maybe if anonymised,4,3,Very interested,81,"Quality vetting, Easy returns"
35,Female,North America,7271,Student,Monthly,22,"Streetwear, Casual","Instagram, TikTok, YouTube",Yes,Story value,"Hygiene, Sizing fit, Shipping hassle",3,Definitely,No,5,3,Very interested,27,Easy returns
18,Female,North America,8629,Homemaker,Monthly,141,"Streetwear, Vintage, Boho",YouTube,Yes,"Affordability, Story value, Brand access","Shipping hassle, None, Hygiene",3,Maybe,Yes,3,4,Neutral,74,"Hygiene guarantee, Easy returns"
27,Male,Middle East,10733,Professional,Rarely,103,"Minimalist, Streetwear, Vintage","TikTok, Instagram",Yes,"Story value, Unique pieces, Sustainability","Hygiene, None",1,Definitely,Maybe if anonymised,2,5,Neutral,65,"Easy returns, Hygiene guarantee, Stylist chat, Loyalty points"
41,Female,North America,6264,Professional,Monthly,214,"Sporty, Casual, Boho","IRL friends, Blogs",Occasionally,Affordability,"Authenticity, None",4,No,No,4,4,Neutral,96,"Loyalty points, Hygiene guarantee, Stylist chat"
34,Non-binary,Middle East,10887,Homemaker,Monthly,138,"Boho, Casual","Blogs, Instagram, IRL friends",Yes,Unique pieces,"Sizing fit, Authenticity",5,Definitely,Yes,4,5,Somewhat,71,"Stylist chat, Hygiene guarantee, Easy returns"
30,Female,Middle East,6303,Retail/Service,Quarterly,136,"Vintage, Casual, Streetwear","IRL friends, YouTube, Blogs",Yes,"Affordability, Sustainability",Sizing fit,3,Maybe,Maybe if anonymised,5,5,Very interested,66,"Stylist chat, Quality vetting, Loyalty points"
23,Non-binary,Asia,6001,Professional,Monthly,160,Formal,"TikTok, Blogs",No,Story value,"Shipping hassle, Sizing fit",4,No,Yes,3,2,Somewhat,81,Hygiene guarantee
31,Male,Europe,4012,Student,Monthly,183,"Streetwear, Casual","IRL friends, YouTube, Blogs",No,"Affordability, Brand access",None,3,Definitely,Yes,5,4,Very interested,25,"Quality vetting, Easy returns"
